RT,Kh,Kv_Kh,So,INJP,VL,TS,HL,WD,LN,OR_FPP,CO_FPP,SOR_FPP,CSOR_FPP,OR_FPT,CO_FPT,SOR_FPT,CSOR_FPT,OR_Half,CO_Half,SOR_Half,CSOR_Half,OR_FPT_6,CO_FPT_6,SOR_FPT_6,CSOR_FPT_6,OR_FPT_12,CO_FPT_12,SOR_FPT_12,CSOR_FPT_12,OR_FPT_18,CO_FPT_18,SOR_FPT_18,CSOR_FPT_18,OR_FPT_24,CO_FPT_24,SOR_FPT_24,CSOR_FPT_24,T_FPP,T_FPT,T_Half
0.5,0.5,0.7,0.5,0.714285714,0.5,0.6,0.916666667,0.464285714,0.166666667,0.548361329,0.165387548,0.200256388,0.244619326,0.468034755,0.15750697,0.107414219,0.126641867,0.524331068,0.17709788,0.115068462,0.13947465,0.325379527,0.198271922,0.117648748,0.127937791,0.319672474,0.248409526,0.129241896,0.123795964,0.284568338,0.299881475,0.157894086,0.129211028,0.336503757,0.347921201,0.153617433,0.13999039,0.090909091,0.114285714,0.09009009
0.333333333,0,0.3,0.9,0.857142857,0,0,0.083333333,0.035714286,0.666666667,0.107494629,0.234079861,0.24602239,0.276416671,0.161974782,0.129178376,0.15532693,0.150333793,0.224381102,0.172386623,0.153687276,0.158251657,0.120741876,0.134831365,0.152151731,0.151299224,0.10397342,0.143998181,0.17308348,0.152321678,0.093314459,0.152876183,0.18327396,0.161029817,0.107427967,0.163151801,0.198626608,0.175076013,0.345454545,0.328571429,0.243243243
0.5,0,0.8,0.6,0.428571429,1,0.4,0.083333333,0.321428571,0.5,0.179760616,0.138255455,0.145342445,0.205669553,0.204251626,0.196324524,0.106465779,0.12199926,0.229210893,0.204120626,0.116893259,0.127412167,0.122664345,0.201040596,0.167656072,0.123938718,0.112834082,0.206512285,0.182125623,0.130529176,0.117478069,0.216941059,0.186256848,0.141932228,0.144525354,0.230678246,0.174020385,0.155916579,0.145454545,0.271428571,0.27027027
0.833333333,1,0,0.7,0.285714286,0,0,0.916666667,0.535714286,0.833333333,0.182894494,0.302151576,0.344666985,0.323463747,0.27239572,0.132219829,0.161816586,0.174883682,0.326681689,0.198036267,0.212276329,0.190768254,0.220562396,0.153027937,0.168172321,0.178135965,0.205796666,0.182945818,0.20578504,0.178690792,0.198353481,0.214797248,0.229724287,0.191167065,0.246598977,0.247470385,0.253046878,0.208744875,0.327272727,0.271428571,0.171171171
1,0.7,0.3,1,0.428571429,1,0.8,0.833333333,0.428571429,0.333333333,0.361267068,0.270142531,0.069201499,0.139606427,0.624692653,0.217597939,0.042441098,0.032904766,0.565643435,0.22994285,0.035721357,0.031788164,0.399022842,0.270482542,0.064221568,0.040096638,0.368075288,0.329684003,0.067554192,0.042614443,0.409241544,0.395366524,0.083704921,0.047546501,0.527391383,0.476875322,0.083588,0.054207534,0.2,0.2,0.153153153
0.666666667,0.5,0.9,0.5,0.142857143,1,1,0.833333333,0.5,0.333333333,0.432793293,0.22362459,0.178581729,0.209541273,0.449167719,0.216172428,0.081644309,0.089730158,0.538046115,0.236243607,0.063869056,0.097240557,0.335797863,0.25401866,0.086447964,0.091088095,0.313235414,0.301950295,0.093543603,0.08759022,0.289941558,0.348527992,0.116102065,0.09272229,0.321390266,0.39523307,0.108047681,0.099639814,0.127272727,0.157142857,0.135135135
0,0.5,0.7,0,0.428571429,1,0.8,0,0.857142857,0.666666667,0.296103963,0.070337757,0.333480707,0.215346527,0.308224992,0.178838159,0.392449407,0.483601285,0.320891599,0.162230714,0.469859658,0.406165496,0.259738722,0.203254229,0.279580734,0.483598208,0.238446191,0.23746485,0.20902124,0.446903078,0.177463072,0.266770656,0.225360631,0.421948433,0.135490152,0.28269634,0.303643553,0.424880718,0.036363636,0.157142857,0.18018018
0.166666667,1,0,0.9,0.714285714,1,1,0.666666667,0.5,1,0.40307799,0.096489244,0.064849375,0.120365317,0.315501192,0.186353816,0.08057778,0.07658492,0.465026203,0.165877696,0.060606249,0.056837658,0.263967281,0.209347761,0.076790284,0.078380064,0.303336609,0.249863499,0.09562717,0.075536622,0.365948546,0.311567169,0.090690172,0.077537397,0.421779953,0.378959599,0.069884007,0.080500263,0.072727273,0.157142857,0.171171171
0.666666667,1,0.2,0.4,1,0.5,0,0.416666667,0.392857143,0,0.617521683,0.215025952,0.160389436,0.247463093,0.76575697,0.201129918,0.149210611,0.141032156,0.833736148,0.191171611,0.130438469,0.126476997,0.52056467,0.275842797,0.195942577,0.159011523,0.563308433,0.360700574,0.179332822,0.167470253,0.526013225,0.465695894,0.166119437,0.168537017,0.56262055,0.559208207,0.127742921,0.169073509,0.090909091,0.085714286,0.072072072
0.166666667,1,0.2,0,0.571428571,0.5,0.4,0.333333333,0.714285714,1,0.202776547,0.115252774,0.680788761,0.591868443,0.304579978,0.11830366,0.600248319,0.687881667,0.297601196,0.125547634,0.629282532,0.635578951,0.283288866,0.147599708,0.461951029,0.67293772,0.319990879,0.197768551,0.343810259,0.603007244,0.373801547,0.262263024,0.257315557,0.539396471,0.454546877,0.337945398,0.144159051,0.485281112,0.072727273,0.128571429,0.126126126
0.5,0.2,0.5,0.2,0,1,0.6,0.583333333,0.535714286,0.833333333,0.174387297,0.14701282,0.215189226,0.266259743,0.249948499,0.163327929,0.21110652,0.230701354,0.214294325,0.17060215,0.222273757,0.212638408,0.161307788,0.176305971,0.257270163,0.23635872,0.144627658,0.191382164,0.261284967,0.241771945,0.151090023,0.20925874,0.228028288,0.250436951,0.194220791,0.233061714,0.184679852,0.257963765,0.145454545,0.242857143,0.234234234
1,0.2,0.7,0.6,0.571428571,0.5,0,0.083333333,0.678571429,0.166666667,0.355767504,0.344983144,0.161094281,0.272835962,0.421695065,0.835701049,0.044152963,0.109198187,0.355686777,0.711830115,0.112156048,0.1473846,0.266668685,0.828665708,0.060752902,0.103319845,0.297294231,0.830437517,0.042125423,0.099741992,0.245495508,0.8394018,0.057122292,0.101952218,0.245968729,0.846864188,0.066632265,0.109480163,0.254545455,0.7,0.765765766
0.666666667,0,0.4,0.5,0.857142857,0,1,0.5,0.357142857,0.666666667,0.077611432,0.04153006,0.208720098,0.271571015,0.11165539,0.092191071,0.244265373,0.245473776,0.1494507,0.086978167,0.200011685,0.210646156,0.070737999,0.092732748,0.352777476,0.257677409,0.061917546,0.095562189,0.375268028,0.274293995,0.056862203,0.098854428,0.391711945,0.298469031,0.064972392,0.103481493,0.410918503,0.32906859,0.072727273,0.214285714,0.225225225
0,0.7,0.8,0.2,0.857142857,0,0,0.166666667,0.714285714,0.333333333,0.284032474,0.250688955,0.394025026,0.472954149,0.398501934,0.308801588,0.260615446,0.373731859,0.440800248,0.294758823,0.352047962,0.385149111,0.251213396,0.329554581,0.236090807,0.360891123,0.209913952,0.350153889,0.222219085,0.345460651,0.255494386,0.376334303,0.127452969,0.335553729,0.311236456,0.418192209,0.09653983,0.321405988,0.163636364,0.257142857,0.252252252
0.833333333,0.7,0,0.5,1,1,1,0.25,0.607142857,0,0.499340926,0.338365185,0.126086022,0.226169719,0.615884244,0.286118672,0.105008179,0.101466225,0.646499116,0.299858715,0.09285486,0.103707209,0.388625524,0.333418946,0.167655602,0.112269165,0.372610058,0.384718261,0.18640966,0.125391528,0.422205205,0.448782295,0.159545838,0.13718002,0.485889788,0.524644532,0.13612981,0.144443059,0.181818182,0.185714286,0.153153153
0.166666667,0.4,0.8,0.9,0.428571429,0,0.6,0.166666667,0.928571429,0.333333333,0.268161816,0.237852795,0.118728014,0.199156186,0.198545051,0.349682411,0.074601373,0.085440123,0.249744137,0.361316425,0.062120777,0.100733424,0.118773064,0.344885834,0.111526385,0.084243109,0.107294231,0.341004771,0.157594912,0.088873703,0.097806627,0.340182691,0.16937119,0.100351471,0.108538264,0.342000745,0.185281846,0.115644601,0.236363636,0.442857143,0.441441441
